nome,risco,texto_desc,texto_impacto,texto_reco,impacto,prob,cwe
Lack of Rate Limiting - API,Medium,This type of vulnerability is commonly found in forms that lack defenses against automated request submission to the server.,"Systems that use paid services such as email or SMS delivery, billed per message, can suffer direct financial loss from this type of attack, as well as service overload leading to degraded performance or denial of service, creating business risk.","Implement defenses against automated tools, such as request throttling within a short time window, or CAPTCHAs that require the user to complete a challenge (e.g., selecting images or answering a question) before the request is validated and forwarded to the server, thereby controlling automated request volume.",Medium,Medium,799
Missing Security Headers,Low,"By altering the Host header, it is possible to manipulate the response.","Sending a request with a tampered Host parameter can alter the response content. As an impact, this could, for example, redirect a user to another, malicious, address.",Suggested recommendation: Do not allow arbitrary values to be inserted into the Host header and processed by the application - deny or block such requests.,Low,Low,644
Open Redirect,Medium,The application redirects the user to addresses other than the one intended by the application itself.,"It is possible to override previous values, redirecting the user to other, typically malicious, addresses.",Suggested recommendations: Limit the data the application accepts from users. Sanitize the variables the application receives from users so that no field or header can be overridden. Do not allow the application to redirect users to arbitrary destinations.,Medium,Medium,601
Blind XPath Injection,Medium,"A blind XPath injection vulnerability was detected in the target web application. XPath injection occurs when unsanitized user input is used by a web application to dynamically construct an XPath query to access data from an XML document. Successful exploitation manipulates the XPath query criteria in a way that affects the query's structure. This vulnerability is detected by sending payloads containing a true XPath query (e.g., ""or 1=1"") and a false XPath query (e.g., ""and 1=0"") and observing whether the application's responses differ.","XPath injection can allow an attacker to modify the syntax of an XPath query used by the web application to retrieve unauthorized or confidential data, or to determine the structure of the underlying XML document.","Similar to techniques used to prevent SQL injection, use a parameterized XPath API where available. Also validate user input before using it as part of an XPath query. It is especially important to filter single quotes, double quotes, and other XPath metacharacters to prevent alteration of the query structure.",Medium,Medium,643
Path Traversal,High,"A path traversal attack (also known as directory traversal) targets files and directories stored outside the web root folder. By manipulating variables that reference files using ""dot-dot-slash (../)"" sequences and their variations, or by using absolute file paths, it may be possible to access arbitrary files and directories stored on the file system, including application source code, configuration, and critical system files. Note that file access is still subject to the operating system's own access controls (such as files locked or in use on Microsoft Windows). This attack is also known as ""dot-dot-slash,"" ""directory traversal,"" ""directory climbing,"" and ""backtracking.""",An attacker may be able to read or download a file containing sensitive information from within the server.,"All but the simplest web applications need to include local resources such as images, themes, other scripts, and so on. Whenever a resource or file is included by the application, there is a risk that an attacker could cause it to include a remote file or resource that was not intended to be authorized. Prefer working without user intervention when using filesystem calls. Use indexes rather than literal portions of file names when modeling or using language files (i.e., value 5 from user input maps to ""Czech,"" rather than expecting the user to submit ""Czech"" directly). Ensure the user cannot supply the entire path - place their input within a path controlled in code. Validate user input against a known-good allowlist rather than merely sanitizing it. Use chroot jails and code access policies to restrict where files can be read from or written to. If forced to use user input for file operations, normalize the input before using it in file I/O APIs, such as via normalize().",High,High,23
Input Parameter Reflected Without Proper Sanitization,Low,"When HTML tags are inserted into the pageSize parameter, the application returns this data without sanitizing special characters, opening the door to HTML and script injection.",The lack of sanitization when reflecting the affected parameter allows an attacker to inject HTML tags and scripts that are then rendered by the browser.,"It is recommended to HTML-encode all dynamic data before it is rendered in the application. With this measure in place, even if a user or attacker submits special characters, they will be displayed as literal text rather than interpreted by the browser.",Low,Low,116
HTTP Parameter Pollution,Medium,"A malicious actor can add extra parameters to an HTTP request, or take advantage of parameters being sent multiple times, while the server processes the request normally and interprets the injected parameter.","A malicious actor may be able to alter data in the application's backend, causing a range of impacts depending on the context in which the system operates.",Configure a WAF to block anomalous HTTP requests. Remove parameters that are being sent redundantly in the request. Filter the data submitted through request parameters.,Medium,Medium,
HTTP Parameter Pollution (Log Tampering),Medium,"A malicious actor can add extra parameters to an HTTP request, or take advantage of parameters being sent multiple times, while the server processes the request normally and interprets the injected parameter.","A malicious actor may be able to alter data in the application's backend, causing a range of impacts depending on the context in which the system operates.",Configure a WAF to block anomalous HTTP requests. Remove parameters that are being sent redundantly in the request. Filter the data submitted through request parameters.,Medium,Medium,
AWS Subdomain Takeover (S3 Takeover),Medium,"The DNS record found points to a AWS S3-hosted resource that is inactive. As a result, an attacker could register a resource with the same name on AWS S3, taking over a valid subdomain belonging to the organization.",An attacker can use this subdomain to conduct social engineering attacks against the organization or its employees. It is also possible that pages depending on this S3 resource could load malicious functionality on an otherwise legitimate internal page.,"Remove the stale DNS record if the AWS S3 service is no longer in use, or reclaim and re-provision the resource on AWS S3 with the expected name to restore control. Implement ongoing monitoring of subdomains and DNS records pointing to third-party services.",Medium,Medium,
Authentication Token Validation Failure,High,"Due to a lack of validation, it was possible to manipulate and forge valid tokens and obtain a successful response from the request.","Exploiting this vulnerability allows an unauthorized attacker to gain access to confidential information and restricted API resources. This can include access to user data, unauthorized manipulation of information, or any other action that requires authentication.","Validate every authorization token against specific claims, such as payload, issuer, and expiration date. Verify that tokens are valid, unexpired, and untampered. Define specific access policies for each API resource. Stay current with the latest authentication and security standards. Authentication tokens should have a short lifetime to minimize the window of opportunity for an attacker. For long-lived tokens, it is highly recommended to follow OAuth standards for revoking access.",High,High,284
Open Redirect via Vulnerable Library,Medium,"A library vulnerable to open redirect was identified through SAST analysis. The application redirects the user to addresses other than the one intended by the application itself, which could lead to further attacks such as SSRF.","It is possible to override previous values, redirecting the user to other, typically malicious, addresses. This can be escalated into other vulnerabilities such as SSRF, potentially resulting in full system compromise.",Suggested recommendations: Limit the data the application accepts from users. Sanitize the variables the application receives from users so that no field or header can be overridden. Do not allow the application to redirect users to arbitrary destinations. Update or disable the vulnerable module.,Medium,Medium,601
Open Redirect - Logout Flow,High,The application redirects the user to addresses other than the one intended by the application itself.,"It is possible to override previous values, redirecting the user to other, typically malicious, addresses.",Suggested recommendations: Limit the data the application accepts from users. Sanitize the variables the application receives from users so that no field or header can be overridden. Do not allow the application to redirect users to arbitrary destinations.,High,High,601
Negative Value Parameter Manipulation,Medium,"It was identified that the application does not properly validate values submitted in input fields, allowing negative values to be entered. This can result in incorrect calculations or malicious manipulation of processing logic.","Allowing negative values can lead to incorrect business results and inaccurate financial calculations, and could potentially be exploited to compromise data integrity.","Implement input validation to reject negative values in fields that should not accept them, ensuring compliance with the application's business and security requirements.",High,Medium,20
HTML Injection via URL Parameter - Phishing Attack,High,"HTML injection is an issue that occurs when a user is able to control an entry point and inject arbitrary HTML code into a vulnerable web page. This vulnerability can have several consequences, such as disclosure of a user's session cookies - which could be used to impersonate the victim - or, more broadly, allow the attacker to modify the content of the page as seen by victims.","An attacker can modify the page content to impersonate another party. Having discovered the injection vulnerability, an attacker crafts malicious links containing injected HTML content and distributes them to users, e.g. via email.","HTML injection is commonly detected by looking for HTML elements in inbound HTTP traffic that contains user input. A naive validation approach simply strips any HTML syntax substrings (such as tags and links) from user-supplied text. However, there are many cases where the application legitimately expects HTML input from the user - for example, when users submit visually formatted text or text containing links to legitimate, related content. To avoid false positives, the security control that detects potential injection and protects the application should learn in which application context user input may legitimately contain HTML, and should be able to reject HTML input if it detects that such text was pasted as-is into a page generated by vulnerable application components.",Critical,High,
HTTP Parameter Pollution - Password Update,High,"A malicious actor can add extra parameters to an HTTP request, or take advantage of parameters being sent multiple times, while the server processes the request normally and interprets the injected parameter.","A malicious actor may be able to alter data in the application's backend, causing a range of impacts depending on the context in which the system operates.",Configure a WAF to block anomalous HTTP requests. Remove parameters that are being sent redundantly in the request. Filter the data submitted through request parameters.,High,High,
HTTP Parameter Pollution - User Deletion,High,"A malicious actor can add extra parameters to an HTTP request, or take advantage of parameters being sent multiple times, while the server processes the request normally and interprets the injected parameter.","A malicious actor may be able to alter data in the application's backend, causing a range of impacts depending on the context in which the system operates.",Configure a WAF to block anomalous HTTP requests. Remove parameters that are being sent redundantly in the request. Filter the data submitted through request parameters.,High,High,
Webflow Subdomain Takeover,Medium,"The DNS record found points to a Webflow-hosted resource that is inactive. As a result, an attacker could register a resource with the same name on Webflow, taking over a valid subdomain belonging to the organization.",An attacker can use this subdomain to conduct social engineering attacks against the organization or its employees. It is also possible that pages depending on this Webflow resource could load malicious functionality on an otherwise legitimate internal page.,"Remove the stale DNS record if the Webflow service is no longer in use, or reclaim and re-provision the resource on Webflow with the expected name to restore control. Implement ongoing monitoring of subdomains and DNS records pointing to third-party services.",Medium,Medium,
Wix Subdomain Takeover,Medium,"The DNS record found points to a Wix-hosted resource that is inactive. As a result, an attacker could register a resource with the same name on Wix, taking over a valid subdomain belonging to the organization.",An attacker can use this subdomain to conduct social engineering attacks against the organization or its employees. It is also possible that pages depending on this Wix resource could load malicious functionality on an otherwise legitimate internal page.,"Remove the stale DNS record if the Wix service is no longer in use, or reclaim and re-provision the resource on Wix with the expected name to restore control. Implement ongoing monitoring of subdomains and DNS records pointing to third-party services.",Medium,Medium,
SQL Injection (SQLi),High,"During testing, it was possible to inject a payload leveraging the database's SLEEP function through an application parameter. The application's response showed a delay consistent with the time value defined in the payload, indicating the command was successfully interpreted. However, data extraction or interaction with other sensitive functions was not validated.","This vulnerability allows an attacker to exploit the database using time-based blind techniques and, with patience and automation, extract sensitive data even without visible error messages. Depending on the sensitivity of the data and available permissions, this could fully compromise the application and its stored data, or even cause a denial of service.","Use parameterized queries (prepared statements) for all database interactions. Avoid dynamically building SQL commands via string concatenation with user input. Validate and sanitize all input, including URL parameters, request body, and headers.",High,Medium,
Server-Side Request Forgery (SSRF),High,"The identified vulnerability is a Server-Side Request Forgery (SSRF), in which the application makes HTTP requests based on URLs supplied by the user in the body of requests sent to a payment-processing API endpoint. The url parameter is controlled client-side, and when given a valid destination that accepts POST requests, the application makes the call, forwarding the original request body. This execution happens in the context of the application server, allowing an attacker to interact with arbitrary external resources as long as they accept POST (even destinations that do not accept POST still return a response - 4xx, 5xx, or 3xx - confirming the request was attempted). Because the request originates from the application's internal infrastructure, this constitutes SSRF. It was confirmed that the request originates from the server, since the full request body and source IP were received by an externally-controlled webhook used for verification purposes.","Internal resources can be accessed via requests originating from the server itself rather than from users, meaning internally-protected resources become accessible to anyone able to trigger the vulnerable request.","Unauthorized access to internal resources: an attacker can exploit the vulnerability to access internal network resources that should not be externally reachable, such as databases, file servers, and other internal services. Sensitive data exfiltration: through crafted requests, an attacker can retrieve sensitive data stored on internal servers, such as user information, credentials, and other confidential data. Remote code execution: in some cases, SSRF can be used as a vector to execute remote code on internal servers, compromising the security of the application and infrastructure. Attack escalation: the vulnerability can serve as a stepping stone for further attacks, such as exploiting additional internal service vulnerabilities, privilege escalation, and lateral movement within the network. Interaction with external services: an attacker can maliciously interact with external services, such as sending spam, launching denial-of-service (DoS) attacks, or manipulating third-party services. Availability impact: malicious requests can overload internal servers, affecting the availability of the application and internal services.",Medium,High,918
Monetary Value Validation and Conversion Failure,Medium,"Overflow issues: values exceeding the capacity of the numeric type in use produce incorrect results, indicating a lack of bounds checking or use of an inadequate type to represent monetary values. Incorrect rounding: decimal inputs undergo inconsistent or imprecise rounding, suggesting a lack of standardized rules for handling monetary values. Improper string parsing: text input in unexpected formats is interpreted as valid numbers without sanitization, allowing incorrect or unintended conversions.","Calculation inconsistency: financial or logical operations can produce incorrect results. Data corruption: stored values may not correctly reflect the user's or system's intent. Unpredictable behavior: errors such as overflow and improper parsing can cause unexpected effects. Logic exploitation risk: crafted input can cause the system to process invalid values, undermining the reliability of the process.","Strictly validate all values received. Accept only decimal numbers in the expected format. Define clear limits for accepted values. Reject ambiguous or non-standard formats. Apply rounding according to domain-specific rules (e.g., financial).",Medium,Medium,20
Payment Parameter Manipulation,Medium,"During isolated testing of the payment-generation API, it was identified that the endpoint responsible for generating the payment QR code accepts trusted identifier parameters (e.g., a plan code and a contract number) alongside value fields (e.g., total amount, installment amount). It was possible to intercept the request and modify the monetary values to amounts lower than those agreed in the contract. The API processed the request successfully and returned a valid QR code containing the tampered value. The API, on its own, fails to guarantee the integrity of the transaction it generates, violating the principle that the backend should be the source of truth.","An attacker can manipulate the values submitted in the request to generate a payment QR code for an amount far lower than the amount agreed in the contract, potentially causing direct and significant financial loss. This flaw also allows business-rule bypass, enabling arbitrary changes to installment amounts or applied interest, undermining the integrity of contractual terms. Even where discrepancies are later caught during reconciliation, the organization still incurs operational costs related to reversals, customer contact, and manual record correction.","The API should not accept sensitive values such as price, total, or interest directly from the request body; it should instead work only with trusted identifiers (such as a plan code or contract number). Using these identifiers, the system should look up the actual amounts to charge from the database, ensuring the QR code is generated from verified, trustworthy data. If the architecture requires values to pass through the front end in a stateless model, it is recommended to adopt digital signature mechanisms, such as HMAC or a signed JWT, to ensure the data has not been tampered with in transit. This preserves transaction integrity and significantly reduces the risk of malicious manipulation.",Medium,Medium,472
OTP Validation Without Adequate Protection (CAPTCHA/Rate Limiting),Medium,"During security testing, it was found that CAPTCHA is applied only at login and is not required during the password-reset flow. When a password reset is requested, the application sends a token via SMS (OTP) and allows multiple validation attempts for that code without any additional challenge (e.g., CAPTCHA) or effective attempt-limiting mechanism (rate limiting/lockout). This behavior enables OTP brute-force attacks; even though attempts made during testing returned HTTP 401 (invalid/expired token), the absence of adequate controls constitutes an authentication/recovery flaw, falling under OWASP Top 10 A07: Identification and Authentication Failures and CWE-307: Improper Restriction of Excessive Authentication Attempts.","The lack of protection mechanisms on the OTP (SMS code) verification endpoint - such as rate limiting, lockout after failed attempts, and a consistently applied CAPTCHA - exposes the password-reset flow to a direct risk of brute-force attack.","Apply rate limiting/lockout to OTP verification attempts. Apply a consistent challenge (e.g., server-side CAPTCHA with bot/automation detection) across the entire sensitive flow (requesting or resending an OTP and verifying it), not just at login.",Medium,Medium,
Invalid Date Input,Medium,"It was identified that the application accepts malformed, nonexistent, or out-of-range date values without any validation or rejection.",Storage of inconsistent data. Errors in routines that depend on date calculations or comparisons. Failures in internal or external integrations. Unhandled exceptions and system instability.,Validate the format and consistency of dates. Define and enforce acceptable date ranges appropriate to the application's needs. Use native date types wherever possible. Implement proper error handling with clear messages to the user.,Low,Medium,20
reCAPTCHA Bypass via Client-Controlled Parameter,High,"reCAPTCHA keys, used to implement CAPTCHA protection on forms against automated attacks, were found in publicly accessible source code files, potentially enabling abuse of the CAPTCHA service.","This vulnerability enables automated requests to the endpoint, facilitating attacks such as mass functionality abuse, user enumeration (via national ID numbers), improper token submission, and potential denial of service. The bot-protection mechanism becomes ineffective, significantly increasing the risk of exploitation by malicious actors.","It is recommended that all security mechanisms be validated exclusively server-side, without relying on client-controlled parameters. Controls such as CAPTCHA must be mandatory and not subject to being disabled via request manipulation. It is also important to implement complementary protection layers, such as rate limiting, suspicious-activity monitoring, and robust input validation, to reduce the risk of automation and functionality abuse. It is also recommended to review the application architecture to ensure critical security decisions cannot be manipulated externally, following secure development best practices.",High,High,
Subdomain Takeover via Ghost.io,High,"It was identified that the resource linked to the Ghost service was not properly provisioned. During testing, it was possible to register the domain on the Ghost Pro platform and take control of the subdomain, confirming the subdomain takeover vulnerability.","Exploitation allows an attacker to take control of a legitimate organizational subdomain, enabling: creation of phishing pages, malware distribution, credential theft, damage to the organization's reputation, and use of the trusted domain in targeted attacks.","Immediately remove the CNAME record if the service is no longer in use, or properly configure the service in Ghost to retain ownership of the resource. Implement continuous subdomain monitoring. Perform periodic audits of DNS records pointing to external services.",High,High,
Unrestricted Resource Consumption via Pagination Parameter Manipulation,Low,"During testing of the application's query functionality, it was observed that the web interface limits result display to 50 items; however, this control appeared to be enforced only on the client side. By intercepting the request sent from the application to the API, the parameter controlling the number of items returned per page - named size - was identified. Manually changing this parameter from 50 to 100 caused the API to process the request normally and return a larger volume of data. This behavior demonstrates that the server does not properly validate the maximum allowed pagination limit, relying instead on the restriction enforced by the front end. Client-only controls can easily be bypassed by a malicious user, since HTTP traffic can be intercepted and modified before reaching the server. The modified request was subsequently submitted through repeated automated requests during authorized testing. Due to the absence of rate limiting, the API degraded until it returned HTTP 503 responses, indicating temporary service unavailability. This scenario is consistent with unrestricted resource consumption, where the application does not adequately limit either the volume of data returned or the number of requests made within a given time window.","API unavailability: repeated requests with an enlarged data volume can consume computing resources and cause 503 errors, affecting legitimate users. Performance degradation: manipulated pagination queries can increase processing time and CPU, memory, database connection, and network usage. Automated abuse: without rate limiting, an attacker can repeat requests at high frequency, exploiting the lack of anti-automation controls. Increased operational costs: in cloud or elastically-scaled environments, artificially inflated consumption can generate additional infrastructure costs. Denial-of-service risk: large-scale exploitation can compromise the availability of the application or dependent components, such as the API gateway, database, or internal services.","Recommended remediation: 1) Validate the size parameter server-side - define a maximum allowed value for pagination (e.g., 30 or 50, or another business-approved limit); reject or normalize values above the allowed limit; never rely solely on front-end validation. 2) Implement rate limiting - limit the number of requests per user, IP, session, token, or API key; apply limits per endpoint, especially on query, search, export, and listing routes; return an appropriate response, such as HTTP 429 (Too Many Requests), when the limit is exceeded.",Medium,Low,770
Improper Approval Cancellation via Parameter Manipulation,High,"The application does not properly verify whether a user is authorized to view another user's information. By tampering with certain parameters and substituting different values, a malicious actor can retrieve confidential and/or sensitive information belonging to other users that should not be accessible.","Malicious actors can obtain other users' information by manipulating vulnerable parameters, leading to potential data leakage. In some cases it is possible to alter other users' critical data, causing data corruption. Impacts include: Exposure of confidential information - full visibility into another user's account data. Data tampering - a malicious actor may be able to access and modify another user's data.","Suggested recommendations: Verify that a user has the appropriate permission to view, edit, or update another user's information. Do not allow parameter tampering to affect the application or return other users' data. Transmit confidential and/or sensitive information over secure channels, including encryption, current and secure tokens, CAPTCHAs, and lockout mechanisms. Avoid easily predictable object identifiers, such as purely sequential numeric values or weak combinations; use identifiers that are difficult to guess in dictionary/brute-force attack scenarios.",High,High,639
