nome,risco,texto_desc,texto_impacto,texto_reco,impacto,prob,cwe
Bibliotecas vulneráveis a Redirecionamento aberto (Open Redirect),Médio,"Foi encontrado uma biblioteca vulnerável a redirecionamento aberto através da metodologia SASTA aplicação redireciona o usuário para outros endereços, que não sejam o pretendido pela própria aplicação, podendo levar a outros tipos de ataques como SSRF","É possível sobrescrever valores prévios, redirecionando o usuário para outros endereços, normalmente maliciosos.Pode-se escalar o ataque para outras vulnerabilidades como SSRF e até conseguir acesso total ao sistema",Algumas das recomendações sugeridas são:Limitar os dados que a aplicação recebe de usuários.Sanatizar as variáveis que a aplicação recebe dos usuários para que nenhum campo ou cabeçalho seja sobrescrito.Não permitir que a aplicação redirecione usuários para destinos arbitrários.Atualizar ou desabilitar o módulo vulnerável,Médio,Médio,601
Falha de Autenticação / Autorização,Médio,APIs tendem a expor endpoints para manipulação de objetos internos criando uma ampla camada de ataque ao controle de nível de acesso. O controle de autorização deve ser verificado em toda função que tenha acesso à fontes de dados que utilizem dados enviados pelo usuário.,"O acesso não autorizado pode resultar no vazamento de dados à partes não autorizadas, perda ou manipulação de dados.",Implementar mecanismo apropriado de autorização de acesso baseado em políticas e hierarquias.Utilizar uma autorização para verificar se o usuário pode acessar e executar ações nos registros em todas as funções que utilizam input do usuário para acessar dados.Preferir utilizar valores randômicos como GUIs para IDs de registros.,Médio,Médio,284
Redirecionamento aberto (Open Redirect) - Logout NaPista,Alto,"A aplicação redireciona o usuário para outros endereços, que não sejam o pretendido pela própria aplicação.","É possível sobrescrever valores prévios, redirecionando o usuário para outros endereços, normalmente maliciosos.",Algumas das recomendações sugeridas são:Limitar os dados que a aplicação recebe de usuários.Sanatizar as variáveis que a aplicação recebe dos usuários para que nenhum campo ou cabeçalho seja sobrescrito.Não permitir que a aplicação redirecione usuários para destinos arbitrários.,Alto,Alto,601
Webflow Subdomain Takeover (Webflow),Médio,"O apontamento presente na URL, que direciona para um storage no bucket S3 da AWS, está inativo. Desta forma, é possível que um atacante cadastre este bucket com o mesmo nome, tomando para si um domínio válido da organização.",Um atacante pode utilizar este subdomínio para efetuar ataques de engenharia social dentro do ambiente da organização ou visando seus funcionários. Também é possível que páginas que possuam alguma dependência com o bucket S3 carregue funcionalidades maliciosas em uma página interna.,"O apontamento presente na URL, que direciona para um storage no bucket S3 da AWS, está inativo. Desta forma, é possível que um atacante cadastre este bucket com o mesmo nome, tomando para si um domínio válido da organização.",Médio,Médio,
WIx Subdomain Takeover (Wix),Médio,"O apontamento presente na URL, que direciona para um storage no bucket S3 da AWS, está inativo. Desta forma, é possível que um atacante cadastre este bucket com o mesmo nome, tomando para si um domínio válido da organização.",Um atacante pode utilizar este subdomínio para efetuar ataques de engenharia social dentro do ambiente da organização ou visando seus funcionários. Também é possível que páginas que possuam alguma dependência com o bucket S3 carregue funcionalidades maliciosas em uma página interna.,"O apontamento presente na URL, que direciona para um storage no bucket S3 da AWS, está inativo. Desta forma, é possível que um atacante cadastre este bucket com o mesmo nome, tomando para si um domínio válido da organização.",Médio,Médio,
SQL Injection (SQLi),Alto,"Durante os testes, foi possível injetar um payload que utiliza a função SLEEP do banco de dados por meio de um parâmetro da aplicação. A resposta da aplicação demonstrou atraso coerente com o tempo definido no payload, indicando que o comando foi interpretado com sucesso. Apesar disso, não foi validada a extração de dados ou interação com outras funções sensíveis.","A presença da vulnerabilidade permite que um atacante explore o banco de dados por meio de técnicas time-based blind, podendo, com paciência e automação, extrair dados sensíveis mesmo sem mensagens de erro visíveis. Dependendo da criticidade dos dados e permissões disponíveis, isso pode comprometer totalmente a aplicação e os dados armazenados, ou até mesmo causar indisponibilidade.","Utilizar consultas parametrizadas (prepared statements) em todas as interações com o banco de dados.Evitar a montagem dinâmica de comandos SQL utilizando concatenação de strings com entradas de usuário.Validar e sanitizar todas as entradas, inclusive parâmetros de URL, corpo de requisição e headers.",Alto,Médio,
Server-Side Request Forgery (SSRF),Alto,"A vulnerabilidade identificada caracteriza-se como um Server-Side Request Forgery (SSRF), onde a aplicação realiza requisições HTTP baseadas em URLs fornecidas pelo usuário por meio do corpo da requisição enviada ao endpoint /partner-validation/v1/pix-schedule e /partner-validation/v1/pix-authorization. O parâmetro url é controlado pelo client-side e, ao receber um destino válido que aceite requisições POST, a aplicação efetivamente realiza a chamada, enviando inclusive o corpo da requisição original. Essa execução ocorre no contexto do servidor da aplicação, permitindo ao atacante interagir com recursos externos arbitrários, desde que aceitem POST. O servidor da aplicação faz uma requisição externa (server-to-server) para qualquer URL fornecida pelo usuário, desde que o destino aceite o método POST (mesmo se não aceitar, ainda é possível realizar as requisições, mas com retornos variados, 4xx,5xx,3xx).Essa requisição é feita a partir da infraestrutura interna da aplicação, o que caracteriza o SSRF.Foi possível confirmar que a requisição é feita pelo servidor, porque o corpo completo da requisição e o ip de origem foi recebido por um webhook sob controle de uma equipe externa (fora da infraestrutura da empresa).","É possível acessar recursos internos por intermédio de requisições originadas do próprio servidor, ao invés de serem oriundas dos usuários. Assim, recursos internos protegidos apenas internamente são acessíveis a qualquer pessoa.","Acesso Não Autorizado a Recursos Internos:Um atacante pode explorar a vulnerabilidade para acessar recursos internos da rede que não deveriam ser acessíveis externamente, como bancos de dados, servidores de arquivos e outros serviços internos.Exfiltração de Dados Sensíveis:Através de requisições maliciosas, um atacante pode obter dados sensíveis armazenados em servidores internos, como informações de usuários, credenciais e outros dados confidenciais.Execução de Código Remoto:Em alguns casos, a SSRF pode ser usada como vetor para executar código remoto em servidores internos, comprometendo a segurança da aplicação e da infraestrutura.Escalonamento de Ataques:A vulnerabilidade pode ser utilizada como ponto de partida para outros tipos de ataques, como exploração de vulnerabilidades adicionais em serviços internos, escalonamento de privilégios e movimentação lateral dentro da rede.Interação com Serviços Externos:Um atacante pode interagir com serviços externos de forma maliciosa, como enviar spam, realizar ataques de negação de serviço (DoS) ou manipular serviços de terceiros.Impacto na Disponibilidade:Requisições maliciosas podem sobrecarregar servidores internos, afetando a disponibilidade da aplicação e dos serviços internos.",Médio,Alto,918
Validação de OTP sem proteção adequada (captcha/ratelimit),Médio,"Durante o teste de segurança, verificou-se que o captcha está aplicado apenas no login, não sendo exigido no fluxo de troca de senha. Ao solicitar a troca de senha, a aplicação envia um token via SMS (OTP) e permite múltiplas tentativas de validação do código sem qualquer desafio adicional (p. ex., captcha) ou mecanismo efetivo de limitação de tentativas (rate limiting / lockout). Esse comportamento habilita ataques de força bruta ao OTP, mesmo que, no teste, as tentativas tenham retornado HTTP 401 (token inválido/expirado), a ausência de controles adequados caracteriza falha de autenticação/recuperação, enquadrando-se nas categorias OWASP Top 10 A07: Identification and Authentication Failures e CWE‑307: Improper Restriction of Excessive Authentication Attempts.","A ausência de mecanismos de proteção no endpoint de verificação do OTP (código via SMS), como rate limiting, bloqueio após tentativas falhas e captcha consistente — expõe o fluxo de troca de senha a um risco direto de ataque de força bruta.","Aplicar rate limiting/lockout por verificação de OTPUniformizar o desafio (p.ex., captcha server‑side com detecção de automação/bot) em todo o fluxo sensível (solicitar/reenviar OTP e verificar OTP), não apenas no login.",Médio,Médio,
Quebra de Validação de Parâmetros no Lado do Cliente (Client-Side Parameter Tampering),Baixo,"O filtro de data no front-end permite que o usuário selecione apenas os últimos 30 dias. Entretanto, ao inspecionar a requisição enviada à API, é possível manipular manualmente o parâmetro de data, inserindo qualquer intervalo desejado, inclusive períodos superiores a 30 dias.Isso caracteriza uma quebra de validação, pois o controle imposto pelo front-end não é reforçado pelo back-end. Dessa forma, usuários mal-intencionados podem enviar requisições alteradas diretamente para a API utilizando ferramentas como Postman, Burp Suite ou até o próprio console do navegador.","Exposição indevida de dados: Usuários podem consultar informações além do permitido pelo negócio, ampliando o acesso a dados sensíveis, históricos ou restritos.Violação de regras internas: O sistema pode permitir consultas que deveriam estar limitadas por compliance, LGPD ou requisitos de auditoria.Carga indevida no servidor: Requisições com períodos extensos podem gerar consultas mais pesadas, causando lentidão ou degradação do serviço.Possível ponto de entrada para ataques: Manipulação de parâmetros pode ser usada para exploração de outras vulnerabilidades, como SQL Injection, excesso de requisições (DoS), etc.",Validar formato e consistência das datas;Definir e aplicar limites aceitáveis de datas conforme a necessidade da aplicação;Utilizar tipos nativos de data sempre que possível;Implementar tratamento de erros adequado e mensagens claras ao usuário;,Baixo,Baixo,20
Subdomain Takeover via Ghost.io,Alto,"Foi identificado que o recurso vinculado ao serviço Ghost não estava devidamente provisionado. Durante os testes, foi possível registrar o domínio na plataforma Ghost Pro e assumir o controle do subdomínio, confirmando a vulnerabilidade de Subdomain Takeover.","A exploração permite que um atacante assuma o controle de um subdomínio legítimo da organização, possibilitando:Criação de páginas de phishingDistribuição de malwareRoubo de credenciaisDanos à reputação da organizaçãoUso do domínio confiável em ataques direcionados",Remover imediatamente o registro CNAME caso o serviço não esteja em usoOu configurar corretamente o serviço no Ghost para garantir a posse do recursoImplementar monitoramento contínuo de subdomíniosRealizar auditoria periódica de apontamentos DNS para serviços externos,Alto,Alto,
