nome,risco,texto_desc,texto_impacto,texto_reco,impacto,prob,cwe
Excesso de HTTP Headers,Baixo,"Durante a análise, foi observada uma resposta válida do servidor contendo um número excessivo de cabeçalhos HTTP. Essa quantidade elevada de headers expõe uma ampla gama de informações, potencialmente sensíveis, que podem auxiliar um atacante em atividades de reconhecimento.","A exposição excessiva de cabeçalhos HTTP pode revelar informações sensíveis sobre a infraestrutura, tecnologias utilizadas, versões de software, tokens ou identificadores internos. Esses dados podem ser utilizados por atacantes para realizar reconhecimento, identificar vetores de ataque e facilitar a exploração de outras vulnerabilidades no ambiente.","Reduza a exposição de informações sensíveis nos cabeçalhos HTTP retornados pelo servidor. Avalie a necessidade de cada header presente na resposta e remova os desnecessários. Além disso, implemente controles para limitar a divulgação de informações técnicas que possam auxiliar um atacante em atividades de reconhecimento.",Baixo,Baixo,209
Sequestro de cliques (Clickjacking),Baixo,"O clickjacking, também conhecido como ""UI redress attack"", é quando um agente malicioso carrega o site alvo em algum frame (como o iframe) como primeira camada de abstração CSS e ao mesmo tempo usa várias camadas opacas como segunda camada de abstração CSS sobrepondo a primeira camada, com o objetivo de criar um layout chamativo ao clique do usuário.O usuário, ao clicar em um botão ou link dessa página maliciosa, acredita estar clicando em alguma funcionalidade da camada superior de abstração CSS, quando na verdade está executando a ação da primeira camada, o que normalmente pode ser uma troca de senha, execução de alguma ação confidencial etc. Assim, o atacante está ""seqüestrando"" os cliques do usuário, que acreditava estar clicando em algo legítimo.Usando uma técnica similar, os toques de tecla também podem ser seqüestrados. Com uma combinação cuidadosamente elaborada de stylesheets, iframes e caixas de texto, um usuário pode ser levado a acreditar que está digitando a senha no campo correto, mas digitando em um iframe invisível controlado pelo agente malicioso.",É possível roubar cliques dos usuários explorando a falha de clickjacking no site. Isto é possível pois o site permite enquadrar o seu conteúdo em um iframe não gerenciado pelo próprio.,"Algumas das recomendações sugeridas são:·        Incluir no cabeçalho de resposta as diretivas CSP (Content Security Policy), que instruem o navegador a não permitir o enquadramento (via iframe) de outros domínios.·        Incluir no cabeçalho de resposta o X-Frame-Options.Código defensivo na interface do usuário para garantir que o iframe atual seja a janela de nível superior.",Baixo,Baixo,1021
Compartilhamento de Recursos de Origem Cruzada (CORS),Médio,"A aplicação aceita o acesso a recursos oriundos de qualquer fonte, incluindo origens não confiáveis. Um aspecto importante do desenvolvimento de aplicações seguras é evitar que origens não confiáveis acessam os recursos do domínio local.","É possível fazer com que domínios arbitrários e não confiáveis acessem recursos do domínio local, contornando a política do SOP. A vulnerabilidade se potencializa caso o domínio vulnerável a CORS também apresente outras vulnerabilidades, como Cross-site Scripting (XSS) e/ou Cross-site Request Forgery (CSRF).","Algumas das recomendações sugeridas são:Limitar quais são os domínios origem que podem acessar recursos via Javascript (como o uso do XHR) no domínio local.Bloquear toda e qualquer origem arbitrária de acessar recursos locais, controlando e permitindo o acesso somente a origens confiáveis que podem acessar os recursos locais.",Médio,Médio,942
Falsificação de solicitações entre sites (CSRF),Baixo,"A aplicação permite que solicitações sejam feitas a recursos privilegiados originadas de um site malicioso (terceiro agente, sendo o primeiro e segundo agentes, respectivamente, a aplicação web e o usuário legítimo).Uma vez logado no sistema, o usuário, em uma nova aba do navegador, acessa o site malicioso contendo a requisição para executar alguma ação dentro da aplicação web, como por exemplo, adicionar uma nova conta, trocar a senha, transferir dinheiro, etc. Isso obviamente, feito em segundo plano (normalmente via formulário oculto ou requisições Javascript XHR) e sem o conhecimento prévio e consentido do usuário.Este tipo de vulnerabilidade explora a confiança do servidor no navegador do usuário onde o servidor parte da premissa que as requisições são sempre iniciadas pelo usuário, quando na verdade podem ser iniciadas por outros sites e usuários.","É possível fazer com que informações de usuários autenticados sejam manipuladas por usuários não privilegiados, ocasionando o vazamento de informações e alterações de dados pessoais.Execução de ações arbitrárias na aplicação, como por exemplo, alterar o cargo de um usuário.","Algumas das recomendações sugeridas são:Adotar medidas anti-CSRF, como o uso de tokens na totalidade da aplicação ou em partes críticas, como troca de senha, troca de e-mail etc.Configurar Synchronizer Tokens (requires session state)Qualquer operação de mudança de estado requer um token aleatório seguro (por exemplo, token CSRF) para evitar ataques CSRF.Características que um token CSRF deve ter: Único por sessão de usuário; Valor aleatório grande; gerado por um gerador de números aleatórios criptograficamente seguro; O token CSRF é adicionado como um campo oculto para formulários ou dentro da URL se a operação de alteração de estado ocorrer através de um GET; O servidor rejeita a ação solicitada se o token CSRF falhar na validação.",Baixo,Baixo,352
Injeção de código Javascript refletido (Cross-site Scripting),Médio,É possível injetar código Javascript na aplicação.,"Uma vez que a aplicação seja comprometida pela vulnerabilidade de XSS, qualquer ataque voltado ao lado cliente pode ser executado, a citar: roubo de valores de cookies de sessão, redirecionamento do usuário para outras páginas de controle do agente malicioso, instalação de softwares maliciosos (malwares), etc.",Algumas das recomendações sugeridas são:Não permitir que códigos Javascript sejam enviados e executados pela aplicação.Sanatizar parâmetros Javascript e HTML enviados à aplicação.,Médio,Médio,79
Injeção no cabeçalho Host (Host Header Injection),Info,"Alterando o cabeçalho Host, é possível manipular a resposta.","Ao enviar uma requisição com o parâmetro Host alterado, é possível alterar o valor da resposta. Como impacto é possível, por exemplo, redirecionar um usuário para outro endereço, malicioso.",Algumas das recomendações sugeridas são:Não permitir que valores arbitrários sejam inseridos no cabeçalho Host e processados pela aplicação: negar ou bloquear tais requisições.,Info,Info,644
Redirecionamento aberto (Open Redirect),Alto,"A aplicação redireciona o usuário para outros endereços, que não sejam o pretendido pela própria aplicação.","É possível sobrescrever valores prévios, redirecionando o usuário para outros endereços, normalmente maliciosos.",Algumas das recomendações sugeridas são:Limitar os dados que a aplicação recebe de usuários.Sanatizar as variáveis que a aplicação recebe dos usuários para que nenhum campo ou cabeçalho seja sobrescrito.Não permitir que a aplicação redirecione usuários para destinos arbitrários.,Alto,Alto,601
Falsificação de Requisição do Lado do Servidor (SSRF),Médio,"Foi identificada uma vulnerabilidade do tipo Server-Side Request Forgery (SSRF), que permite que um atacante induza o servidor a realizar requisições HTTP/HTTPS arbitrárias. Essa falha pode ser explorada para acessar recursos internos da rede, serviços protegidos ou metadados de infraestrutura, representando riscos à segurança da aplicação e do ambiente.","A exploração de SSRF pode permitir acesso não autorizado a recursos internos, exposição de dados sensíveis e movimentação lateral dentro da infraestrutura, comprometendo a segurança da aplicação e do ambiente.","Alguma das recomendações são:Validação e sanitização de entradas: Restringir e validar rigorosamente os dados fornecidos pelo usuário, especialmente URLs e domínios.Lista de permissões (allowlist): Implementar uma lista de domínios confiáveis para requisições externas.Bloqueio de IPs internos: Impedir que o servidor acesse endereços IP internos (ex: 127.0.0.1, 169.254.169.254, 10.0.0.0/8, etc.).Timeouts e limites de resposta: Configurar timeouts curtos e limitar o tamanho das respostas para evitar abusos.",Médio,Médio,918
Sem limite de requisição (No Rate Limit),Médio,Este tipo de vulnerabilidade é frequentemente encontrada em formulários que não utilizam mecanismos de defesa contra automação de requisições enviadas para o servidor,"Sistemas que utilizam serviços de envio de email, sms ou qualquer outra ferramenta que realize a cobrança por taxa de envio esse tipo de ataque pode resultar em perda financeira para empresa e também sobrecarga dos seus serviços causando retardamento e uma possível negação de serviço causando risco de negócios.",Implementar soluções de segurança contra ferramentas automatizadas como por exemplo códigos que limitam requisições continuas em um período de tempo curto ou uso de recaptchas onde o usuário passa por um processo onde tem que selecionar figuras ou responder algum tipo de pergunta para que a requisição seja validada e enviada para o servidor dessa forma realizando o controle de requisições realizadas por ferramentas automatizadas.,Médio,Médio,799
Injeção de código Javascript armazenado (Cross-site Scripting),Médio,É possível injetar código Javascript na aplicação.,"Uma vez que a aplicação seja comprometida pela vulnerabilidade de XSS, qualquer ataque voltado ao lado cliente pode ser executado, a citar: roubo de valores de cookies de sessão, redirecionamento do usuário para outras páginas de controle do agente malicioso, instalação de softwares maliciosos (malwares), etc.",Algumas das recomendações sugeridas são:Não permitir que códigos Javascript sejam enviados e executados pela aplicação.Sanatizar parâmetros Javascript e HTML enviados à aplicação.,Médio,Médio,79
Enumeração de número de conta (IDOR),Médio,"A aplicação não faz a devida validação se um usuário tem permissão para visualizar informações de outros usuários. Dessa forma, um agente malicioso, ao alterar determinados parâmetros, inserindo valores que não os originais, é possível obter informações confidenciais e/ou sensíveis de outros usuários, o que por padrão, não deveriam ser obtidos.","Agentes maliciosos podem obter informações de outros usuários através de manipulações de parâmetros vulneráveis. Como consequência, vazamento de informações podem ocorrer. Em determinados casos é possível alterar valores e informações críticas de outros usuários que não o próprio, ocasionando em corrupção de dados da aplicação. Além de outras, dentre as quais:Exposição de informações confidenciais: Controle total de informações da conta de outros usuários.Alteração de dados: um agente malicioso pode ter privilégios para acessar seus dados e alterá-los.","Algumas das recomendações sugeridas são:Fazer a validação se um usuário tem a devida permissão para visualizar, editar/alterar e ou atualizar informações de outros usuários.Não permitir que a alteração de parâmetros impacte a aplicação ou retorne dados de outros usuários.Enviar informações confidenciais e/ou sensíveis em canais seguros de comunicação, o que inclui, entre vários aspectos a utilização de criptografia, tokens atuais e seguros para transmissão de informações, uso de captchas e sistemas de bloqueio etc.Não utilizar valores de objetos facilmente predizíeis, como valores puramente numéricos ou combinações frágeis. Utilizar, no lugar, um identificador de objeto que em cenários de ataques de dicionário/força bruta sejam de difícil adivinhação.",Médio,Médio,813
Enumeração de saldo em conta de outros usuários (IDOR),Médio,"A aplicação não faz a devida validação se um usuário tem permissão para visualizar informações de outros usuários. Dessa forma, um agente malicioso, ao alterar determinados parâmetros, inserindo valores que não os originais, é possível obter informações confidenciais e/ou sensíveis de outros usuários, o que por padrão, não deveriam ser obtidos.","Agentes maliciosos podem obter informações de outros usuários através de manipulações de parâmetros vulneráveis. Como consequência, vazamento de informações podem ocorrer. Em determinados casos é possível alterar valores e informações críticas de outros usuários que não o próprio, ocasionando em corrupção de dados da aplicação. Além de outras, dentre as quais:Exposição de informações confidenciais: Controle total de informações da conta de outros usuários.Alteração de dados: um agente malicioso pode ter privilégios para acessar seus dados e alterá-los.","Algumas das recomendações sugeridas são:Fazer a validação se um usuário tem a devida permissão para visualizar, editar/alterar e ou atualizar informações de outros usuários.Não permitir que a alteração de parâmetros impacte a aplicação ou retorne dados de outros usuários.Enviar informações confidenciais e/ou sensíveis em canais seguros de comunicação, o que inclui, entre vários aspectos a utilização de criptografia, tokens atuais e seguros para transmissão de informações, uso de captchas e sistemas de bloqueio etc.Não utilizar valores de objetos facilmente predizíeis, como valores puramente numéricos ou combinações frágeis. Utilizar, no lugar, um identificador de objeto que em cenários de ataques de dicionário/força bruta sejam de difícil adivinhação.",Médio,Médio,813
Bloqueio de conta em massa (IDOR),Médio,"A aplicação não faz a devida validação se um usuário tem permissão para visualizar informações de outros usuários. Dessa forma, um agente malicioso, ao alterar determinados parâmetros, inserindo valores que não os originais, é possível obter informações confidenciais e/ou sensíveis de outros usuários, o que por padrão, não deveriam ser obtidos.","Agentes maliciosos podem obter informações de outros usuários através de manipulações de parâmetros vulneráveis. Como consequência, vazamento de informações podem ocorrer. Em determinados casos é possível alterar valores e informações críticas de outros usuários que não o próprio, ocasionando em corrupção de dados da aplicação. Além de outras, dentre as quais:Exposição de informações confidenciais: Controle total de informações da conta de outros usuários.Alteração de dados: um agente malicioso pode ter privilégios para acessar seus dados e alterá-los.","Algumas das recomendações sugeridas são:Fazer a validação se um usuário tem a devida permissão para visualizar, editar/alterar e ou atualizar informações de outros usuários.Não permitir que a alteração de parâmetros impacte a aplicação ou retorne dados de outros usuários.Enviar informações confidenciais e/ou sensíveis em canais seguros de comunicação, o que inclui, entre vários aspectos a utilização de criptografia, tokens atuais e seguros para transmissão de informações, uso de captchas e sistemas de bloqueio etc.Não utilizar valores de objetos facilmente predizíeis, como valores puramente numéricos ou combinações frágeis. Utilizar, no lugar, um identificador de objeto que em cenários de ataques de dicionário/força bruta sejam de difícil adivinhação.",Médio,Médio,813
Termo aceite de outros usuários (IDOR),Médio,"A aplicação não faz a devida validação se um usuário tem permissão para visualizar informações de outros usuários. Dessa forma, um agente malicioso, ao alterar determinados parâmetros, inserindo valores que não os originais, é possível obter informações confidenciais e/ou sensíveis de outros usuários, o que por padrão, não deveriam ser obtidos.","Agentes maliciosos podem obter informações de outros usuários através de manipulações de parâmetros vulneráveis. Como consequência, vazamento de informações podem ocorrer. Em determinados casos é possível alterar valores e informações críticas de outros usuários que não o próprio, ocasionando em corrupção de dados da aplicação. Além de outras, dentre as quais:Exposição de informações confidenciais: Controle total de informações da conta de outros usuários.Alteração de dados: um agente malicioso pode ter privilégios para acessar seus dados e alterá-los.","Algumas das recomendações sugeridas são:Fazer a validação se um usuário tem a devida permissão para visualizar, editar/alterar e ou atualizar informações de outros usuários.Não permitir que a alteração de parâmetros impacte a aplicação ou retorne dados de outros usuários.Enviar informações confidenciais e/ou sensíveis em canais seguros de comunicação, o que inclui, entre vários aspectos a utilização de criptografia, tokens atuais e seguros para transmissão de informações, uso de captchas e sistemas de bloqueio etc.Não utilizar valores de objetos facilmente predizíeis, como valores puramente numéricos ou combinações frágeis. Utilizar, no lugar, um identificador de objeto que em cenários de ataques de dicionário/força bruta sejam de difícil adivinhação.",Médio,Médio,813
Requisições originadas do servidor (SSRF),Alto,"A vulnerabilidade identificada caracteriza-se como um Server-Side Request Forgery (SSRF), onde a aplicação realiza requisições HTTP baseadas em URLs fornecidas pelo usuário por meio do corpo da requisição enviada ao endpoint  /chatbot/whatsapp-outbound/internal/v1/message. O parâmetro url é controlado pelo client-side e, ao receber um destino válido que aceite requisições POST, a aplicação efetivamente realiza a chamada, enviando inclusive o corpo da requisição original. Essa execução ocorre no contexto do servidor da aplicação, permitindo ao atacante interagir com recursos externos arbitrários. Essa requisição é feita a partir da infraestrutura interna da aplicação, o que caracteriza o SSRF.Foi possível confirmar que a requisição é feita pelo servidor, porque o corpo completo da requisição e o ip de origem foi recebido por um webhook sob controle de uma equipe externa (fora da infraestrutura da empresa).","Acesso Não Autorizado a Recursos Internos:Um atacante pode explorar a vulnerabilidade para acessar recursos internos da rede que não deveriam ser acessíveis externamente, como bancos de dados, servidores de arquivos e outros serviços internos.Exfiltração de Dados Sensíveis:Através de requisições maliciosas, um atacante pode obter dados sensíveis armazenados em servidores internos, como informações de usuários, credenciais e outros dados confidenciais.Execução de Código Remoto:Em alguns casos, a SSRF pode ser usada como vetor para executar código remoto em servidores internos, comprometendo a segurança da aplicação e da infraestrutura.Escalonamento de Ataques:A vulnerabilidade pode ser utilizada como ponto de partida para outros tipos de ataques, como exploração de vulnerabilidades adicionais em serviços internos, escalonamento de privilégios e movimentação lateral dentro da rede.Interação com Serviços Externos:Um atacante pode interagir com serviços externos de forma maliciosa, como enviar spam, realizar ataques de negação de serviço (DoS) ou manipular serviços de terceiros.Impacto na Disponibilidade:Requisições maliciosas podem sobrecarregar servidores internos, afetando a disponibilidade da aplicação e dos serviços internos.",Validação estrita do parâmetro URL Whitelist com domínios permitidos no parâmetro URL,Alto,Alto,918
Dump de fotos de funcionários através do CPF (IDOR),Alto,"A aplicação não faz a devida validação se um usuário tem permissão para visualizar informações de outros usuários. Dessa forma, um agente malicioso, ao alterar determinados parâmetros, inserindo valores que não os originais, é possível obter informações confidenciais e/ou sensíveis de outros usuários, o que por padrão, não deveriam ser obtidos.","Agentes maliciosos podem obter informações de outros usuários através de manipulações de parâmetros vulneráveis. Como consequência, vazamento de informações podem ocorrer. Em determinados casos é possível alterar valores e informações críticas de outros usuários que não o próprio, ocasionando em corrupção de dados da aplicação. Além de outras, dentre as quais:Exposição de informações confidenciais: Controle total de informações da conta de outros usuários.Alteração de dados: um agente malicioso pode ter privilégios para acessar seus dados e alterá-los.","Algumas das recomendações sugeridas são:Fazer a validação se um usuário tem a devida permissão para visualizar, editar/alterar e ou atualizar informações de outros usuários.Não permitir que a alteração de parâmetros impacte a aplicação ou retorne dados de outros usuários.Enviar informações confidenciais e/ou sensíveis em canais seguros de comunicação, o que inclui, entre vários aspectos a utilização de criptografia, tokens atuais e seguros para transmissão de informações, uso de captchas e sistemas de bloqueio etc.Não utilizar valores de objetos facilmente predizíeis, como valores puramente numéricos ou combinações frágeis. Utilizar, no lugar, um identificador de objeto que em cenários de ataques de dicionário/força bruta sejam de difícil adivinhação.",Alto,Alto,813
Dump de dados com CPF de todos funcionários do ICARUS (IDOR),Alto,"A aplicação não faz a devida validação se um usuário tem permissão para visualizar informações de outros usuários. Dessa forma, um agente malicioso, ao alterar determinados parâmetros, inserindo valores que não os originais, é possível obter informações confidenciais e/ou sensíveis de outros usuários, o que por padrão, não deveriam ser obtidos.","Agentes maliciosos podem obter informações de outros usuários através de manipulações de parâmetros vulneráveis. Como consequência, vazamento de informações podem ocorrer. Em determinados casos é possível alterar valores e informações críticas de outros usuários que não o próprio, ocasionando em corrupção de dados da aplicação. Além de outras, dentre as quais:Exposição de informações confidenciais: Controle total de informações da conta de outros usuários.Alteração de dados: um agente malicioso pode ter privilégios para acessar seus dados e alterá-los.","Algumas das recomendações sugeridas são:Fazer a validação se um usuário tem a devida permissão para visualizar, editar/alterar e ou atualizar informações de outros usuários.Não permitir que a alteração de parâmetros impacte a aplicação ou retorne dados de outros usuários.Enviar informações confidenciais e/ou sensíveis em canais seguros de comunicação, o que inclui, entre vários aspectos a utilização de criptografia, tokens atuais e seguros para transmissão de informações, uso de captchas e sistemas de bloqueio etc.Não utilizar valores de objetos facilmente predizíeis, como valores puramente numéricos ou combinações frágeis. Utilizar, no lugar, um identificador de objeto que em cenários de ataques de dicionário/força bruta sejam de difícil adivinhação.",Alto,Alto,813
